,Time,TPU_cores
521,1651079788,48
522,1651079818,48
523,1651079848,48
524,1651079878,48
525,1651079908,48
526,1651079938,48
527,1651079968,48
528,1651079998,48
529,1651080028,48
530,1651080058,48
531,1651080088,48
532,1651080118,48
533,1651080148,48
534,1651080178,48
535,1651080208,48
536,1651080238,48
537,1651080268,48
538,1651080298,48
539,1651080328,48
540,1651080358,48
541,1651080388,48
542,1651080418,48
543,1651080448,48
544,1651080478,48
545,1651080508,48
546,1651080538,48
547,1651080568,48
548,1651080598,48
549,1651080628,48
550,1651080658,48
551,1651080688,48
552,1651080718,48
553,1651080748,48
554,1651080778,48
555,1651080808,48
556,1651080838,48
557,1651080868,48
558,1651080898,48
559,1651080928,48
560,1651080958,48
561,1651080988,48
562,1651081018,48
563,1651081048,48
564,1651081078,48
565,1651081108,48
566,1651081138,48
567,1651081168,48
568,1651081198,48
569,1651081228,48
570,1651081258,48
571,1651081288,48
572,1651081318,48
573,1651081348,48
574,1651081378,48
575,1651081408,48
576,1651081438,48
577,1651081468,48
578,1651081498,48
579,1651081528,48
580,1651081558,48
581,1651081588,48
582,1651081618,48
583,1651081648,48
584,1651081678,48
585,1651081708,48
586,1651081738,48
587,1651081768,48
588,1651081798,48
589,1651081828,48
590,1651081858,48
591,1651081888,48
592,1651081918,48
593,1651081948,48
594,1651081978,48
595,1651082008,48
596,1651082038,48
597,1651082068,48
598,1651082098,48
599,1651082128,48
600,1651082158,48
601,1651082188,48
602,1651082218,48
603,1651082248,48
604,1651082278,48
605,1651082308,48
606,1651082338,48
607,1651082368,40
608,1651082398,40
609,1651082428,40
610,1651082458,40
611,1651082488,48
612,1651082518,48
613,1651082548,48
614,1651082578,48
615,1651082608,48
616,1651082638,48
617,1651082668,48
618,1651082698,48
619,1651082728,48
620,1651082758,48
621,1651082788,48
622,1651082818,48
623,1651082848,48
624,1651082878,48
625,1651082908,40
626,1651082938,40
627,1651082968,40
628,1651082998,40
629,1651083028,40
630,1651083058,40
631,1651083088,40
632,1651083118,40
633,1651083148,40
634,1651083178,40
635,1651083208,40
636,1651083238,40
637,1651083268,40
638,1651083298,40
639,1651083328,40
640,1651083358,40
641,1651083388,40
642,1651083418,40
643,1651083448,40
644,1651083478,40
645,1651083508,40
646,1651083538,40
647,1651083568,40
648,1651083598,40
649,1651083628,40
650,1651083658,40
651,1651083688,40
652,1651083718,40
653,1651083748,40
654,1651083778,40
655,1651083808,32
656,1651083838,32
657,1651083868,32
658,1651083898,32
659,1651083928,40
660,1651083958,40
661,1651083988,32
662,1651084018,32
663,1651084048,32
664,1651084078,32
665,1651084108,40
666,1651084138,40
667,1651084168,40
668,1651084198,40
669,1651084228,40
670,1651084258,40
671,1651084288,40
672,1651084318,40
673,1651084348,40
674,1651084378,40
675,1651084408,40
676,1651084438,40
677,1651084468,32
678,1651084498,32
679,1651084528,32
680,1651084558,32
681,1651084588,40
682,1651084618,40
683,1651084648,40
684,1651084678,40
685,1651084708,40
686,1651084738,40
687,1651084768,40
688,1651084798,40
689,1651084828,40
690,1651084858,40
691,1651084888,40
692,1651084918,40
693,1651084948,40
694,1651084978,40
695,1651085008,40
696,1651085038,40
697,1651085068,40
698,1651085098,40
699,1651085128,40
700,1651085158,40
701,1651085188,40
702,1651085218,40
703,1651085248,40
704,1651085278,40
705,1651085308,40
706,1651085338,40
707,1651085368,32
708,1651085398,32
709,1651085428,32
710,1651085458,32
711,1651085488,40
712,1651085518,40
713,1651085548,40
714,1651085578,40
715,1651085608,40
716,1651085638,40
717,1651085668,40
718,1651085698,32
719,1651085728,32
720,1651085758,32
721,1651085788,32
722,1651085818,32
723,1651085848,32
724,1651085878,32
725,1651085908,32
726,1651085938,32
727,1651085968,32
728,1651085998,32
729,1651086028,40
730,1651086058,40
731,1651086088,32
732,1651086118,32
733,1651086148,32
734,1651086178,32
735,1651086208,40
736,1651086238,40
737,1651086268,40
738,1651086298,40
739,1651086328,40
740,1651086358,40
741,1651086388,40
742,1651086418,32
743,1651086448,32
744,1651086478,32
745,1651086508,32
746,1651086538,32
747,1651086568,32
748,1651086598,32
749,1651086628,32
